,abdom_protein,abdomen,abdominal_dist,abdomino_appearance,age,capillary_time,cell_vol,extreme_temp,feces,mucous,nasogastric_PH,nasogastric_reflux,nasogastric_tube,pain,peripheral_pulse,peristalsis,protein,pulse,rectal_temp,respiration,surgical_lesion
148,,,,,1,,34.0,,1.0,,,1.0,1.0,1.0,,1.0,63.0,48.0,38.7,24.0,2
149,,2.0,2.0,,1,1.0,33.0,3.0,,1.0,,,,2.0,1.0,3.0,64.0,44.0,38.9,14.0,2
150,4.3,4.0,2.0,3.0,1,2.0,75.0,4.0,4.0,6.0,4.0,3.0,1.0,4.0,3.0,4.0,,,39.3,,1
151,2.0,,4.0,3.0,1,2.0,68.0,3.0,,4.0,2.0,1.0,2.0,,3.0,4.0,64.0,100.0,,,1
152,,2.0,2.0,1.0,1,1.0,50.0,3.0,3.0,1.0,,1.0,2.0,1.0,1.0,3.0,7.3,48.0,38.6,20.0,2
153,,5.0,4.0,,1,1.0,41.0,1.0,,3.0,,,2.0,3.0,1.0,3.0,65.0,48.0,38.8,40.0,1
154,,2.0,2.0,1.0,1,1.0,49.0,3.0,,4.0,5.0,,2.0,1.0,3.0,4.0,8.3,48.0,38.0,20.0,2
155,5.0,3.0,2.0,1.0,1,1.0,36.0,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,3.0,6.6,52.0,38.6,20.0,2
156,,5.0,4.0,,1,2.0,52.0,1.0,,3.0,2.0,3.0,2.0,,,4.0,75.0,60.0,37.8,24.0,1
157,,,1.0,,1,1.0,,3.0,,1.0,,,,3.0,1.0,3.0,,42.0,38.0,40.0,2
158,,3.0,2.0,2.0,1,1.0,44.0,1.0,1.0,2.0,,1.0,3.0,2.0,1.0,1.0,7.5,,,12.0,2
159,1.0,5.0,,2.0,1,,35.0,,,,,1.0,1.0,4.0,,,58.0,,,,1
160,,,,,1,1.0,40.0,,,,,,,,,,8.5,42.0,38.3,24.0,1
161,,,2.0,1.0,1,2.0,38.0,3.0,3.0,,,1.0,2.0,3.0,,3.0,56.0,60.0,39.5,10.0,2
162,2.0,,1.0,3.0,1,1.0,46.0,1.0,3.0,3.0,,1.0,1.0,5.0,3.0,3.0,46.0,66.0,38.0,20.0,1
163,,4.0,2.0,,1,2.0,50.0,1.0,4.0,5.0,,2.0,2.0,3.0,1.0,3.0,8.0,76.0,38.7,,1
164,2.0,,3.0,1.0,1,1.0,56.0,,4.0,5.0,,,1.0,,,3.0,64.0,120.0,39.4,48.0,2
165,,1.0,1.0,1.0,1,1.0,43.0,1.0,2.0,1.0,,,,3.0,1.0,1.0,5.9,40.0,38.3,18.0,2
166,,1.0,1.0,,1,1.0,,1.0,,1.0,,1.0,2.0,3.0,1.0,3.0,6.3,44.0,,24.0,2
167,,4.0,2.0,,1,1.0,55.0,1.0,,3.0,6.5,3.0,2.0,2.0,1.0,4.0,8.5,104.0,38.4,40.0,1
168,,5.0,4.0,,1,2.0,,,,,,1.0,3.0,5.0,,,,65.0,,24.0,1
169,,,1.0,,1,1.0,35.0,1.0,1.0,3.0,,,,,1.0,1.0,7.2,44.0,37.5,20.0,2
170,6.0,,3.0,3.0,1,,68.0,3.0,,5.0,,2.0,,3.0,3.0,3.0,5.8,86.0,39.0,16.0,1
171,2.0,,3.0,3.0,1,1.0,57.0,3.0,,3.0,2.0,3.0,1.0,2.0,3.0,4.0,66.0,129.0,38.5,48.0,1
172,3.4,4.0,3.0,2.0,1,2.0,69.0,3.0,4.0,5.0,,3.0,,2.0,3.0,4.0,8.6,104.0,,,1
173,,,4.0,,1,,,3.0,,6.0,,,,4.0,4.0,,,,,,1
174,,,,,1,,,,,,,,,,,,,,,,1
175,,2.0,1.0,,1,1.0,48.0,1.0,3.0,3.0,,1.0,2.0,3.0,1.0,3.0,66.0,60.0,38.2,30.0,1
176,2.8,,,2.0,1,1.0,,,,4.0,4.3,1.0,,4.0,,,,68.0,,14.0,1
177,2.0,,4.0,3.0,1,2.0,45.0,3.0,4.0,4.0,,1.0,1.0,5.0,3.0,4.0,70.0,60.0,,30.0,1
178,,5.0,4.0,,1,2.0,,3.0,4.0,5.0,,1.0,2.0,4.0,3.0,3.0,,100.0,38.5,,2
179,,4.0,3.0,3.0,1,2.0,47.0,3.0,4.0,5.0,6.5,3.0,2.0,4.0,1.0,3.0,7.5,84.0,38.4,30.0,1
180,,,2.0,,1,1.0,35.0,,1.0,1.0,5.3,3.0,1.0,3.0,,,7.5,48.0,37.8,14.0,2
181,,,4.0,,1,2.0,68.0,3.0,,6.0,,1.0,1.0,5.0,3.0,,7.8,,38.0,24.0,1
182,1.0,,1.0,1.0,1,1.0,44.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,68.0,56.0,37.8,16.0,2
183,,1.0,1.0,,1,1.0,43.0,2.0,1.0,2.0,,1.0,3.0,1.0,2.0,1.0,65.0,68.0,38.2,32.0,2
184,,,,,1,2.0,54.0,4.0,,6.0,,,,,3.0,3.0,,120.0,38.5,60.0,1
185,,,1.0,,1,1.0,39.0,2.0,,1.0,,2.0,1.0,,3.0,3.0,6.7,64.0,39.3,90.0,1
186,4.3,5.0,3.0,3.0,1,1.0,32.0,4.0,4.0,1.0,,3.0,3.0,3.0,3.0,3.0,6.1,80.0,38.4,30.0,1
187,,,1.0,1.0,1,1.0,33.0,1.0,,,,,,,1.0,1.0,53.0,60.0,38.5,,1
188,3.0,4.0,1.0,1.0,1,1.0,30.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,6.0,60.0,38.3,16.0,1
189,,3.0,1.0,3.0,1,1.0,23.0,,3.0,4.0,,1.0,1.0,3.0,1.0,3.0,6.7,40.0,37.1,8.0,1
190,,,1.0,,9,1.0,37.0,2.0,1.0,1.0,,,,4.0,1.0,1.0,4.7,100.0,,44.0,2
191,2.0,,3.0,1.0,1,1.0,48.0,1.0,4.0,1.0,,2.0,1.0,3.0,1.0,3.0,74.0,48.0,38.2,18.0,1
192,,,4.0,,1,2.0,58.0,3.0,,4.0,,,,4.0,3.0,3.0,7.6,60.0,,48.0,1
193,,1.0,1.0,,1,1.0,37.0,1.0,4.0,2.0,,,,2.0,1.0,2.0,56.0,88.0,37.9,24.0,2
194,,,2.0,,1,,42.0,3.0,1.0,1.0,,,,,1.0,1.0,64.0,44.0,38.0,12.0,2
195,2.3,3.0,1.0,2.0,1,2.0,63.0,1.0,2.0,5.0,,1.0,2.0,2.0,1.0,2.0,7.5,60.0,38.5,20.0,2
196,,5.0,2.0,,1,2.0,70.0,3.0,4.0,,,2.0,1.0,2.0,3.0,4.0,8.5,96.0,38.5,36.0,1
197,,,1.0,,1,2.0,34.0,1.0,3.0,1.0,,,,1.0,1.0,3.0,66.0,60.0,38.3,20.0,2
198,,2.0,2.0,,1,1.0,49.0,3.0,3.0,2.0,,,,2.0,1.0,1.0,59.0,60.0,38.5,40.0,2
199,,3.0,3.0,2.0,1,1.0,40.0,1.0,3.0,3.0,,1.0,2.0,3.0,,1.0,6.6,48.0,37.3,12.0,1
200,3.4,5.0,3.0,1.0,1,1.0,45.0,1.0,3.0,3.0,,1.0,2.0,4.0,1.0,4.0,7.4,86.0,38.5,,1
201,2.0,5.0,,3.0,1,,41.0,,,,,1.0,1.0,,,,55.0,48.0,37.5,40.0,1
202,,1.0,1.0,,1,1.0,35.0,1.0,4.0,1.0,,1.0,2.0,2.0,1.0,3.0,5.7,36.0,37.2,9.0,2
203,3.0,,2.0,1.0,1,1.0,36.0,3.0,,3.0,,,2.0,4.0,1.0,4.0,6.6,,39.2,23.0,1
204,,5.0,4.0,,1,2.0,,3.0,4.0,5.0,,1.0,2.0,4.0,3.0,3.0,,100.0,38.5,,2
205,,5.0,3.0,,1,2.0,50.0,2.0,3.0,4.0,,1.0,2.0,4.0,3.0,4.0,65.0,96.0,38.5,30.0,1
206,,,,,1,,45.0,,,,,,,,,,8.7,,,,1
207,,5.0,3.0,,1,2.0,64.0,3.0,4.0,5.0,,3.0,2.0,,3.0,3.0,89.0,88.0,37.8,80.0,1
208,1.0,3.0,2.0,1.0,1,1.0,43.0,3.0,3.0,1.0,,,2.0,3.0,1.0,1.0,51.0,44.0,37.5,10.0,2
209,2.8,5.0,2.0,3.0,1,1.0,45.0,,1.0,2.0,,,,2.0,1.0,4.0,4.0,68.0,37.9,20.0,1
210,10.1,5.0,4.0,1.0,1,1.0,45.0,4.0,4.0,4.0,,1.0,1.0,2.0,3.0,4.0,5.5,86.0,38.0,24.0,1
211,,,3.0,1.0,9,2.0,47.0,1.0,,2.0,3.0,1.0,3.0,3.0,3.0,3.0,6.3,120.0,38.9,30.0,2
212,1.5,4.0,2.0,2.0,1,1.0,39.0,3.0,1.0,3.0,,1.0,2.0,,1.0,2.0,7.0,45.0,37.6,12.0,1
213,2.1,,1.0,2.0,1,1.0,40.0,2.0,2.0,1.0,,,2.0,1.0,1.0,1.0,7.0,56.0,38.6,32.0,2
214,,2.0,1.0,,1,1.0,38.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,7.0,40.0,37.8,12.0,1
215,,,,,1,,,,,,,,,,,,,,,,2
216,,,,,1,2.0,71.0,,,,,,,,,,11.0,76.0,38.0,18.0,1
217,,,,,1,1.0,,1.0,,2.0,,,,2.0,2.0,2.0,,40.0,38.1,36.0,1
218,,4.0,3.0,,1,1.0,37.0,3.0,4.0,4.0,,1.0,2.0,3.0,3.0,4.0,8.1,52.0,,28.0,1
219,2.0,,,2.0,1,2.0,,4.0,,,,,,5.0,4.0,4.0,,88.0,39.2,58.0,2
220,2.0,,3.0,2.0,1,1.0,46.0,4.0,4.0,,,,,2.0,3.0,4.0,67.0,92.0,38.5,40.0,1
221,,4.0,1.0,3.0,1,1.0,60.0,4.0,4.0,4.0,4.5,1.0,2.0,2.0,4.0,3.0,6.3,112.0,,13.0,1
222,1.6,4.0,2.0,2.0,1,1.0,31.5,1.0,4.0,3.0,,,2.0,3.0,1.0,3.0,6.2,66.0,37.7,12.0,1
223,,5.0,1.0,,1,1.0,38.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,1.0,58.0,50.0,38.8,14.0,1
224,8.0,2.0,1.0,1.0,1,1.0,49.0,1.0,3.0,1.0,,1.0,2.0,1.0,1.0,3.0,7.2,54.0,38.4,24.0,2
225,,4.0,3.0,3.0,1,2.0,60.0,4.0,,5.0,,3.0,1.0,2.0,3.0,3.0,8.8,120.0,39.2,20.0,1
226,,,,2.0,9,,45.0,,,,,,,,,,6.5,,,,1
227,2.0,5.0,3.0,3.0,1,2.0,65.0,3.0,1.0,6.0,,2.0,2.0,5.0,,4.0,50.0,90.0,37.3,40.0,1
228,1.0,,,1.0,9,,35.0,,1.0,,,,2.0,,,1.0,54.0,120.0,38.5,70.0,1
229,,,4.0,,1,1.0,,3.0,,,,,,4.0,3.0,3.0,,104.0,38.5,40.0,1
230,3.6,,1.0,,1,1.0,72.0,3.0,4.0,6.0,,3.0,,5.0,3.0,4.0,6.4,92.0,39.5,28.0,2
231,,,,,1,,40.0,,,,,,,,,,7.7,30.0,38.5,18.0,1
232,3.9,5.0,3.0,2.0,1,2.0,43.0,4.0,3.0,3.0,,1.0,2.0,3.0,3.0,3.0,7.0,72.0,38.3,30.0,1
233,,1.0,1.0,,1,1.0,48.0,4.0,1.0,3.0,,1.0,1.0,,1.0,2.0,8.6,48.0,37.5,30.0,2
234,2.6,,1.0,2.0,1,1.0,54.0,1.0,1.0,5.0,7.0,3.0,2.0,4.0,1.0,3.0,7.5,52.0,38.1,24.0,1
235,,,2.0,,1,1.0,36.0,1.0,1.0,1.0,,,,3.0,1.0,1.0,6.9,42.0,38.2,26.0,2
236,1.0,2.0,1.0,3.0,1,1.0,47.0,2.0,,5.0,,1.0,,3.0,1.0,1.0,54.0,54.0,37.9,42.0,2
237,4.8,4.0,2.0,3.0,1,1.0,45.0,3.0,,3.0,,3.0,2.0,3.0,3.0,3.0,7.0,88.0,36.1,,1
238,,5.0,,,1,1.0,36.0,,,,,,,5.0,1.0,3.0,65.0,70.0,38.1,22.0,1
239,,5.0,4.0,,1,2.0,55.0,4.0,4.0,4.0,,,,5.0,3.0,4.0,6.1,90.0,38.0,30.0,1
240,,,1.0,,1,1.0,43.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,8.1,52.0,38.2,16.0,2
241,,4.0,3.0,,1,1.0,41.0,1.0,,4.0,4.0,3.0,2.0,5.0,1.0,3.0,5.9,36.0,,32.0,1
242,,,3.0,,1,2.0,,1.0,1.0,,,,,,,3.0,,92.0,38.4,20.0,1
243,,,4.0,1.0,9,1.0,47.0,1.0,,2.0,,,,2.0,3.0,3.0,8.0,124.0,38.2,88.0,1
244,,5.0,4.0,,1,2.0,60.0,3.0,4.0,3.0,,1.0,,5.0,3.0,4.0,,96.0,,,1
245,,5.0,4.0,1.0,1,1.0,47.0,3.0,1.0,3.0,6.5,2.0,2.0,4.0,,2.0,7.2,68.0,37.6,32.0,1
246,,4.0,3.0,,1,1.0,41.0,3.0,3.0,4.0,,1.0,2.0,5.0,3.0,4.0,4.6,88.0,38.1,24.0,1
247,,4.0,3.0,3.0,1,1.0,,2.0,3.0,4.0,,,2.0,4.0,3.0,3.0,,108.0,38.0,60.0,1
248,,2.0,1.0,,1,2.0,34.0,2.0,,1.0,,1.0,2.0,3.0,,3.0,6.6,48.0,38.2,,2
249,2.0,4.0,1.0,3.0,1,1.0,66.0,4.0,,6.0,2.0,3.0,1.0,2.0,4.0,4.0,13.0,100.0,39.3,51.0,1
250,,5.0,1.0,,1,1.0,52.0,3.0,,2.0,,1.0,1.0,1.0,3.0,4.0,7.1,42.0,36.6,18.0,1
251,,4.0,4.0,3.0,9,1.0,50.0,3.0,4.0,2.0,,1.0,1.0,2.0,1.0,3.0,7.6,124.0,38.8,36.0,1
252,2.6,,2.0,3.0,1,2.0,40.0,3.0,4.0,4.0,,,,5.0,3.0,4.0,5.3,112.0,,24.0,2
253,,5.0,4.0,,1,1.0,43.0,3.0,4.0,3.0,,,,4.0,3.0,4.0,70.0,80.0,,,1
254,,,3.0,,9,1.0,33.0,1.0,2.0,1.0,,,,4.0,,1.0,3.3,184.0,38.8,84.0,1
255,2.0,,1.0,2.0,1,1.0,35.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,65.0,72.0,37.5,,1
256,,,,,1,1.0,64.0,3.0,,4.0,7.5,3.0,,,3.0,4.0,9.0,96.0,38.7,28.0,1
257,1.0,5.0,2.0,1.0,1,1.0,36.0,1.0,3.0,1.0,,1.0,2.0,2.0,1.0,3.0,61.0,52.0,37.5,12.0,2
258,,,1.0,3.0,1,1.0,54.0,3.0,,1.0,,1.0,2.0,2.0,3.0,3.0,7.4,72.0,40.8,42.0,1
259,,,2.0,,1,1.0,37.0,,4.0,1.0,,1.0,1.0,4.0,1.0,3.0,69.0,40.0,38.0,25.0,2
260,,2.0,2.0,,1,1.0,39.0,2.0,,1.0,,1.0,2.0,1.0,1.0,,6.5,48.0,38.4,16.0,2
261,,,,,9,,35.0,,,,,,,,,,5.9,88.0,38.6,28.0,2
262,3.2,4.0,2.0,3.0,1,2.0,48.0,,4.0,3.0,5.0,3.0,2.0,4.0,,4.0,7.4,75.0,37.1,36.0,1
263,4.4,5.0,3.0,2.0,1,1.0,44.0,3.0,1.0,2.0,,1.0,2.0,3.0,1.0,3.0,6.5,44.0,38.3,21.0,1
264,,,1.0,,1,1.0,40.0,3.0,1.0,1.0,,1.0,2.0,3.0,1.0,3.0,6.0,56.0,,68.0,1
265,,5.0,2.0,1.0,1,1.0,38.0,2.0,1.0,3.0,,1.0,1.0,3.0,1.0,3.0,6.5,68.0,38.6,20.0,2
266,,4.0,2.0,3.0,1,1.0,44.0,3.0,,2.0,5.4,3.0,,2.0,1.0,3.0,7.2,54.0,38.3,18.0,2
267,,,,,1,1.0,47.0,,3.0,1.0,,,,,,3.0,60.0,42.0,38.2,20.0,2
268,,5.0,1.0,,1,1.0,39.0,2.0,1.0,1.0,6.5,2.0,1.0,,3.0,3.0,6.7,64.0,39.3,90.0,1
269,,4.0,2.0,,1,1.0,35.0,3.0,3.0,1.0,3.5,2.0,2.0,3.0,3.0,3.0,6.5,60.0,37.5,50.0,1
270,2.0,1.0,1.0,3.0,1,1.0,50.0,3.0,3.0,6.0,,3.0,2.0,5.0,3.0,4.0,55.0,80.0,37.7,,1
271,,4.0,4.0,,1,2.0,52.0,3.0,4.0,4.0,,3.0,3.0,5.0,3.0,4.0,6.6,100.0,,30.0,1
272,,,3.0,3.0,1,1.0,65.0,3.0,,3.0,,1.0,1.0,5.0,3.0,3.0,7.0,120.0,37.7,28.0,1
273,,5.0,4.0,,1,,,,,,,,,,3.0,4.0,,76.0,,,1
274,,,2.0,,9,2.0,50.0,1.0,,6.0,,1.0,1.0,5.0,3.0,3.0,6.2,150.0,38.8,50.0,1
275,1.0,,2.0,2.0,1,1.0,37.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,75.0,36.0,38.0,16.0,2
276,,,2.0,,1,1.0,37.5,2.0,,3.0,7.0,1.0,3.0,1.0,3.0,3.0,6.5,50.0,36.9,40.0,2
277,,1.0,1.0,,1,1.0,37.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,6.8,40.0,37.8,16.0,2
278,2.5,,3.0,1.0,1,1.0,47.0,4.0,,1.0,7.5,2.0,2.0,2.0,3.0,4.0,7.2,56.0,38.2,40.0,2
279,,,,,1,,36.0,,,1.0,,,,1.0,,1.0,67.0,48.0,38.6,12.0,2
280,,1.0,1.0,,1,1.0,66.0,3.0,4.0,5.0,,1.0,1.0,2.0,3.0,3.0,6.5,78.0,40.0,,1
281,,5.0,2.0,,1,2.0,60.0,3.0,4.0,5.0,,1.0,2.0,2.0,4.0,3.0,7.5,70.0,,16.0,1
282,,,,,1,,35.0,,,,,,,,,,6.4,72.0,38.2,18.0,1
283,7.0,,1.0,2.0,1,1.0,40.0,1.0,1.0,1.0,,1.0,2.0,3.0,1.0,1.0,6.8,54.0,38.5,,2
284,,5.0,1.0,1.0,1,1.0,40.0,1.0,4.0,1.0,,1.0,2.0,3.0,1.0,3.0,6.7,66.0,38.5,24.0,1
285,,,3.0,,1,2.0,50.0,3.0,,1.0,,3.0,1.0,4.0,1.0,,7.0,82.0,37.8,12.0,1
286,,,,,9,1.0,28.0,,,,,,,,,,5.0,84.0,39.5,30.0,2
287,,,,,1,,,,,,,,,,,,,,,,1
288,5.3,,2.0,1.0,1,1.0,39.0,,3.0,1.0,,,,3.0,1.0,2.0,6.6,50.0,38.0,36.0,1
289,,1.0,,,1,1.0,43.0,2.0,1.0,2.0,,,,1.0,1.0,1.0,58.0,45.0,38.6,16.0,2
290,,1.0,3.0,3.0,1,1.0,54.0,3.0,3.0,3.0,7.0,2.0,2.0,2.0,3.0,3.0,6.5,80.0,38.9,44.0,1
291,,5.0,3.0,2.0,1,1.0,35.0,1.0,1.0,2.0,,,1.0,4.0,3.0,3.0,6.9,66.0,37.0,20.0,1
292,2.0,4.0,,,1,1.0,43.0,3.0,,3.0,,1.0,2.0,,3.0,3.0,62.0,78.0,,24.0,2
293,,2.0,1.0,,1,1.0,37.0,1.0,3.0,1.0,,,,2.0,1.0,1.0,67.0,40.0,38.5,16.0,2
294,,5.0,,,1,2.0,55.0,4.0,,4.0,,,,2.0,,4.0,65.0,120.0,,70.0,2
295,3.3,4.0,3.0,3.0,1,2.0,44.0,3.0,4.0,4.0,,1.0,3.0,4.0,2.0,3.0,,72.0,37.2,24.0,1
296,,5.0,3.0,,1,1.0,60.0,4.0,3.0,4.0,,1.0,2.0,4.0,3.0,4.0,6.8,72.0,37.5,30.0,1
297,3.4,4.0,3.0,3.0,1,1.0,50.0,3.0,4.0,3.0,,1.0,3.0,3.0,3.0,3.0,6.0,100.0,36.5,24.0,1
298,1.0,1.0,,1.0,1,,36.0,,4.0,,,,,,,,62.0,40.0,37.2,20.0,2
0,,5.0,4.0,,1,2.0,45.0,3.0,3.0,,,,,5.0,3.0,4.0,8.4,66.0,38.5,28.0,2
